run_at_utc,week_label,admin_name,minutes
2025-10-05T07:18:23Z,last-7d,chani,1312
2025-10-05T07:18:23Z,last-7d,what the,905
2025-10-05T07:18:23Z,last-7d,R()CK~KI||3R,688
2025-10-05T07:18:23Z,last-7d,95 | HakeRs,586
2025-10-05T07:18:23Z,last-7d,BaReS,379
2025-10-05T07:18:23Z,last-7d,DS || DaWaWeeN,281
2025-10-05T07:18:23Z,last-7d,< gHo$T R1D3r=  >,250
2025-10-05T07:18:23Z,last-7d,BaRoN,245
2025-10-05T07:18:23Z,last-7d,s@bin@,222
2025-10-05T07:18:23Z,last-7d,GuNsNGloRy | AmmaR,188
2025-10-05T07:18:23Z,last-7d,US-B,143
2025-10-05T07:18:23Z,last-7d,LeaNuX || MeMo,41
2025-10-05T07:18:23Z,last-7d,Altair Ibn La Ahad,0
2025-10-05T07:18:23Z,last-7d,anouar,0
2025-10-05T07:18:23Z,last-7d,DS || fReak*,0
2025-10-05T07:18:23Z,last-7d,DS || Miladiii,0
2025-10-05T07:18:23Z,last-7d,DS || MuSTaFa,0
2025-10-05T07:18:23Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-10-05T07:18:23Z,last-7d,N00bie || (0-0),0
2025-10-05T07:18:23Z,last-7d,N00bie || MOUSE?,0
2025-10-05T07:18:23Z,last-7d,N00bie || WOLF,0
2025-10-05T07:18:23Z,last-7d,Noor,0
