run_at_utc,week_label,admin_name,minutes
2025-09-07T22:32:13Z,last-7d,US-B,717
2025-09-07T22:32:13Z,last-7d,ALTAIR IBN LA AHAD,408
2025-09-07T22:32:13Z,last-7d,ElSanto,354
2025-09-07T22:32:13Z,last-7d,-k1LLa,281
2025-09-07T22:32:13Z,last-7d,BaRoN,227
2025-09-14T07:18:55Z,last-7d,chani,1573
2025-09-14T07:18:55Z,last-7d,BaReS,1309
2025-09-14T07:18:55Z,last-7d,R()CK~KI||3R,954
2025-09-14T07:18:55Z,last-7d,95 | HakeRs,766
2025-09-14T07:18:55Z,last-7d,what the,685
2025-09-14T07:18:55Z,last-7d,US-B,650
2025-09-14T07:18:55Z,last-7d,DS || Miladiii,474
2025-09-14T07:18:55Z,last-7d,LeaNuX || MeMo,370
2025-09-14T07:18:55Z,last-7d,< gHo$T R1D3r=  >,305
2025-09-14T07:18:55Z,last-7d,s@bin@,260
2025-09-14T07:18:55Z,last-7d,DS || DaWaWeeN,178
2025-09-14T07:18:55Z,last-7d,J 4 C K | R 3 4 C H 3 R,104
2025-09-14T07:18:55Z,last-7d,BaRoN,25
2025-09-14T07:18:55Z,last-7d,N00bie || MOUSE?,25
2025-09-14T07:18:55Z,last-7d,Altair Ibn La Ahad,0
2025-09-14T07:18:55Z,last-7d,anouar,0
2025-09-14T07:18:55Z,last-7d,DS || fReak*,0
2025-09-14T07:18:55Z,last-7d,DS || MuSTaFa,0
2025-09-14T07:18:55Z,last-7d,GuNsNGloRy | AmmaR,0
2025-09-14T07:18:55Z,last-7d,N00bie || (0-0),0
2025-09-14T07:18:55Z,last-7d,N00bie || WOLF,0
2025-09-14T07:18:55Z,last-7d,Noor,0
2025-09-21T07:18:15Z,last-7d,chani,1137
2025-09-21T07:18:15Z,last-7d,what the,675
2025-09-21T07:18:15Z,last-7d,BaReS,590
2025-09-21T07:18:15Z,last-7d,R()CK~KI||3R,563
2025-09-21T07:18:15Z,last-7d,US-B,441
2025-09-21T07:18:15Z,last-7d,DS || DaWaWeeN,388
2025-09-21T07:18:15Z,last-7d,GuNsNGloRy | AmmaR,334
2025-09-21T07:18:15Z,last-7d,s@bin@,305
2025-09-21T07:18:15Z,last-7d,95 | HakeRs,304
2025-09-21T07:18:15Z,last-7d,< gHo$T R1D3r=  >,292
2025-09-21T07:18:15Z,last-7d,BaRoN,236
2025-09-21T07:18:15Z,last-7d,J 4 C K | R 3 4 C H 3 R,91
2025-09-21T07:18:15Z,last-7d,N00bie || WOLF,31
2025-09-21T07:18:15Z,last-7d,N00bie || MOUSE?,25
2025-09-21T07:18:15Z,last-7d,Altair Ibn La Ahad,0
2025-09-21T07:18:15Z,last-7d,anouar,0
2025-09-21T07:18:15Z,last-7d,DS || fReak*,0
2025-09-21T07:18:15Z,last-7d,DS || Miladiii,0
2025-09-21T07:18:15Z,last-7d,DS || MuSTaFa,0
2025-09-21T07:18:15Z,last-7d,LeaNuX || MeMo,0
2025-09-21T07:18:15Z,last-7d,N00bie || (0-0),0
2025-09-21T07:18:15Z,last-7d,Noor,0
2025-09-28T07:18:42Z,last-7d,R()CK~KI||3R,938
2025-09-28T07:18:42Z,last-7d,chani,915
2025-09-28T07:18:42Z,last-7d,what the,659
2025-09-28T07:18:42Z,last-7d,GuNsNGloRy | AmmaR,656
2025-09-28T07:18:42Z,last-7d,DS || DaWaWeeN,433
2025-09-28T07:18:42Z,last-7d,BaRoN,369
2025-09-28T07:18:42Z,last-7d,95 | HakeRs,359
2025-09-28T07:18:42Z,last-7d,US-B,311
2025-09-28T07:18:42Z,last-7d,s@bin@,272
2025-09-28T07:18:42Z,last-7d,< gHo$T R1D3r=  >,258
2025-09-28T07:18:42Z,last-7d,BaReS,41
2025-09-28T07:18:42Z,last-7d,DS || fReak*,16
2025-09-28T07:18:42Z,last-7d,Altair Ibn La Ahad,0
2025-09-28T07:18:42Z,last-7d,anouar,0
2025-09-28T07:18:42Z,last-7d,DS || Miladiii,0
2025-09-28T07:18:42Z,last-7d,DS || MuSTaFa,0
2025-09-28T07:18:42Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-09-28T07:18:42Z,last-7d,LeaNuX || MeMo,0
2025-09-28T07:18:42Z,last-7d,N00bie || (0-0),0
2025-09-28T07:18:42Z,last-7d,N00bie || MOUSE?,0
2025-09-28T07:18:42Z,last-7d,N00bie || WOLF,0
2025-09-28T07:18:42Z,last-7d,Noor,0
